video_id,title,url,name,score,second,frame,text
DFDfDSRxdEA,Свои | 4 сезон | 1 серия | Повелитель дорог,https://www.youtube.com/watch?v=DFDfDSRxdEA,Егор Смирнов,1.0,2341.0,credits_scan/frames/DFDfDSRxdEA/frame_0038.jpg,ВТОРОЙ ОПЕРАТОР — АНТОН Г РОМОВ. ФОКУС-ПУПЛЕРЫ / МЕХАНИКИ — ЕПИЗАВЕТА ЧАИКОВСКАЯ _ МИХАИЛ ТАРАСОВ АССИСТЕНТ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР ЧЕСНИКОВ РАБОЧИЙ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР СМИРНОВ ГАФФЕР ГЕРМАН ШНАЙДЕР ОСВЕТИТЕТЬ — ЯРОСЛАВ БУРАК ЗВУКОРЕЖИССЁР — АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКООПЕРАТОР МАКСИМ КОРОТКИЙ РЕЖИССЁР МОНТАЖА — ВИК ТОРИЯ ГАНУС КОПОРИСТ — АЛЕКСЕЙ АНДРИАНОВ КОМПЬЮТЕРНАЯ ГРАФИКА — ИЛЬЯ ЯКИЩЕНОК КООРДИНАТОР ПОСТ-ПРОДАКШЕН — КСЕНИЯ ОБОРИНА
DFDfDSRxdEA,Свои | 4 сезон | 1 серия | Повелитель дорог,https://www.youtube.com/watch?v=DFDfDSRxdEA,Егор Смирнов,1.0,2343.0,credits_scan/frames/DFDfDSRxdEA/frame_0039.jpg,ВТОРОЙ ОПЕРАТОР — АНТОН Г РОМОВ. ФОКУС-ПУПЛЕРЫ / МЕХАНИКИ — ЕПИЗАВЕТА ЧАИКОВСКАЯ _ МИХАИЛ ТАРАСОВ АССИСТЕНТ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР ЧЕСНИКОВ: РАБОЧИЙ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР СМИРНОВ ГАФФЕР ГЕРМАН ШНАЙДЕР ОСВЕТИТЕТЬ — ЯРОСЛАВ БУРАК ЗВУКОРЕЖИССЁР — АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКООПЕРАТОР — МАКСИМ КОРОТКИЙ РЕЖИССЁР МОНТАЖА — ВИК ТОРИЯ ГАНУС КОПОРИСТ — АЛЕКСЕЙ АНДРИАНОВ КОМПЬЮТЕРНАЯ ГРАФИКА — ИЛЬЯ ЯКИЩЕНОК КООРДИНАТОР ПОСТ-ПРОДАКШЕН — КСЕНИЯ ОБОРИНА
zsVC0JRBrAk,Свои | 4 сезон | 2 серия | Ожившие рисунки,https://www.youtube.com/watch?v=zsVC0JRBrAk,Егор Смирнов,1.0,2368.0,credits_scan/frames/zsVC0JRBrAk/frame_0040.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР ДМИТРИЙ ПРОСЯННИКОВ ФОКУС-ПУПЛЕРЫ / МЕХАНИКИ — ПАВЕЛ РАЧКОВ МАКСИМ ОКУПОВСКИЙ АССИСТЕНТ ОПЕРАТОРСКОЙ ГРУППЫ — АНТОН КАДУШКИН РАБОЧИЙ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР СМИРНОВ ГАФФЕР — ИЛЬЯ ЧЕРНОВ ОСВЕТИТЕТЬ — МАРКИН ОЛЕГ ЗВУКОРЕЖИССЁР — АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКООПЕРАТОР — ГЛЕБ КАРИБСКИЙ РЕЖИССЁР МОНТАЖА — ВИКТОРИЯ ГАНУС МОНТАЖЁР — ВЕРОНИКА КОРШУНОВА КОЛОРИСТ АЛЕКСЕЙ АНДРНАНОВ КОМПЬЮТЕРНАЯ ГРАФИКА — ИЛЬЯ ЯКИЩЁНОК КООРДИНАТОР ПОСТ-ПРОДАКШЕН — КСЕНИЯ ОБОРИНА
zsVC0JRBrAk,Свои | 4 сезон | 2 серия | Ожившие рисунки,https://www.youtube.com/watch?v=zsVC0JRBrAk,Егор Смирнов,1.0,2370.0,credits_scan/frames/zsVC0JRBrAk/frame_0041.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР ДМИТРИЙ ПРОСЯННИКОВ ФОКУС-ПУПЛЕРЫ / МЕХАНИКИ — ПАВЕЛ РАЧКОВ МАКСИМ ОКУПОВСКИЙ АССИСТЕНТ ОПЕРАТОРСКОЙ ГРУППЫ — АНТОН КАДУШКИН РАБОЧИЙ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР СМИРНОВ ГАФФЕР — ИЛЬЯ ЧЕРНОВ ОСВЕТИТЕТЬ — МАРКИН ОЛЕГ ЗВУКОРЕЖИССЁР — АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКООПЕРАТОР — ГЛЕБ КАРИБСКИЙ РЕЖИССЁР МОНТАЖА — ВИКТОРИЯ ГАНУС МОНТАЖЁР — ВЕРОНИКА КОРШУНОВА КОЛОРИСТ — АЛЕКСЕЙ АНДРНАНОВ КОМПЬЮТЕРНАЯ ГРАФИКА — ИЛЬЯ ЯКИЩЁНОК КООРДИНАТОР ПОСТ-ПРОДАКШЕН — КСЕНИЯ ОБОРИНА
rWHXDprC-m4,Свои | 4 сезон | 4 серия | Вдох без выдоха,https://www.youtube.com/watch?v=rWHXDprC-m4,Егор Смирнов,1.0,2370.0,credits_scan/frames/rWHXDprC-m4/frame_0038.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР — СЕРГЕЙ ЖИГАНОВ ФОКУС-ПУПЛЕРЫ / МЕХАНИКИ — ПАВЕЛ РАЧКОВ МАКСИМ ОКУПОВСКИЙ АССИСТЕНТЫ ОПЕРАТОРСКОЙ ГРУППЫ — АНТОН КАДУШКИН ЕГОР СМИРНОВ ГАФФЕР — ИЛЬЯ ЧЕРНОВ ОСВЕТИТЕТЬ — ОЛЕГ МАРКИН ЗВУКОРЕЖИССЁР — АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКООПЕРАТОР — МАКСИМ КОРОТКИЙ РЕЖИССЁР МОНТАЖА — ВИКТОРИЯ ГАНУС КОЛОРИСТ — АЛЕКСЕЙ АНДРИАНОВ КОМПЬЮТЕРНАЯ ГРАФИКА — ИЛЬЯ ЯКИЩЁНОК АЛЕКСАНДР ПАУТОВ. КООРДИНАТОР ПОСТ-ПРОДАКШЕН — КСЕНИЯ ОБОРИНА
rWHXDprC-m4,Свои | 4 сезон | 4 серия | Вдох без выдоха,https://www.youtube.com/watch?v=rWHXDprC-m4,Егор Смирнов,1.0,2372.0,credits_scan/frames/rWHXDprC-m4/frame_0039.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР — СЕРГЕЙ ЖИГАНОВ ФОКУС-ПУПЛЕРЫ / МЕХАНИКИ — ПАВЕЛ РАЧКОВ МАКСИМ ОКУПОВСКИЙ АССИСТЕНТЫ ОПЕРАТОРСКОЙ ГРУППЫ — АНТОН КАДУШКИН ЕГОР СМИРНОВ ГАФФЕР — ИЛЬЯ ЧЕРНОВ ОСВЕТИТЕТЬ — ОЛЕГ МАРКИН ЗВУКОРЕЖИССЁР — АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКООПЕРАТОР — МАКСИМ КОРОТКИЙ РЕЖИССЁР МОНТАЖА — ВИКТОРИЯ ГАНУС КОЛОРИСТ — АЛЕКСЕЙ АНДРИАНОВ КОМПЬЮТЕРНАЯ ГРАФИКА — ИЛЬЯ ЯКИЩЁНОК АЛЕКСАНДР ПАУТОВ. КООРДИНАТОР ПОСТ-ПРОДАКШЕН — КСЕНИЯ ОБОРИНА
qGlDqqeGI0Y,Свои | 4 сезон | 5 серия | Избавление,https://www.youtube.com/watch?v=qGlDqqeGI0Y,Егор Смирнов,1.0,2364.0,credits_scan/frames/qGlDqqeGI0Y/frame_0039.jpg,ВТОРОЙ ОПЕРАТОР — АНТОН Г РОМОВ. ФОКУС-ПУПЛЕРЫ / МЕХАНИКИ — ЕПИЗАВЕТА ЧАИКОВСКАЯ _ МИХАИЛ ТАРАСОВ АССИСТЕНТ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР ЧЕСНИКОВ: РАБОЧИЙ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР СМИРНОВ ГАФФЕР ГЕРМАН ШНАЙДЕР ОСВЕТИТЕТЬ — ЯРОСЛАВ БУРАК ЗВУКОРЕЖИССЁР — АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКООПЕРАТОР МАКСИМ КОРОТКИЙ РЕЖИССЁР МОНТАЖА — ВИК ТОРИЯ ГАНУС КОПОРИСТ — АЛЕКСЕЙ АНДРИАНОВ КОМПЬЮТЕРНАЯ ГРАФИКА — ИЛЬЯ ЯКИЩЕНОК КООРДИНАТОР ПОСТ-ПРОДАКШЕН — КСЕНИЯ ОБОРИНА
qGlDqqeGI0Y,Свои | 4 сезон | 5 серия | Избавление,https://www.youtube.com/watch?v=qGlDqqeGI0Y,Егор Смирнов,1.0,2366.0,credits_scan/frames/qGlDqqeGI0Y/frame_0040.jpg,ВТОРОЙ ОПЕРАТОР — АНТОН Г РОМОВ. ФОКУС-ПУПЛЕРЫ / МЕХАНИКИ — ЕПИЗАВЕТА ЧАИКОВСКАЯ _ МИХАИЛ ТАРАСОВ АССИСТЕНТ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР ЧЕСНИКОВ: РАБОЧИЙ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР СМИРНОВ ГАФФЕР ГЕРМАН ШНАЙДЕР ОСВЕТИТЕТЬ — ЯРОСЛАВ БУРАК ЗВУКОРЕЖИССЁР — АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКООПЕРАТОР — МАКСИМ КОРОТКИЙ РЕЖИССЁР МОНТАЖА — ВИК ТОРИЯ ГАНУС КОПОРИСТ — АЛЕКСЕЙ АНДРИАНОВ КОМПЬЮТЕРНАЯ ГРАФИКА — ИЛЬЯ ЯКИЩЕНОК КООРДИНАТОР ПОСТ-ПРОДАКШЕН — КСЕНИЯ ОБОРИНА
ZAHFx5lwNSw,Свои | 4 сезон | 8 серия | Верь мне,https://www.youtube.com/watch?v=ZAHFx5lwNSw,Егор Смирнов,1.0,2376.0,credits_scan/frames/ZAHFx5lwNSw/frame_0037.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР ДМИТРИЙ ПРОСЯННИКОВ ФОКУС-ПУПЛЕРЫ / МЕХАНИКИ — ПАВЕЛ РАЧКОВ МАКСИМ ОКУПОВСКИЙ АССИСТЕНТ ОПЕРАТОРСКОЙ ГРУППЫ — АНТОН КАДУШКИН РАБОЧИЙ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР СМИРНОВ ГАФФЕР — ИЛЬЯ ЧЕРНОВ ОСВЕТИТЕТЬ — МАРКИН ОЛЕГ ЗВУКОРЕЖИССЁР — АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКООПЕРАТОР — ГЛЕБ КАРИБСКИЙ РЕЖИССЁР МОНТАЖА — ВИКТОРИЯ ГАНУС МОНТАЖЁР — ВЕРОНИКА КОРШУНОВА КОЛОРИСТ АЛЕКСЕЙ АНДРИАНОВ КОМПЬЮТЕРНАЯ ГРАФИКА — ИЛЬЯ ЯКИЩЁНОК КООРДИНАТОР ПОСТ-ПРОДАКШЕН — КСЕНИЯ ОБОРИНА
ZAHFx5lwNSw,Свои | 4 сезон | 8 серия | Верь мне,https://www.youtube.com/watch?v=ZAHFx5lwNSw,Егор Смирнов,1.0,2378.0,credits_scan/frames/ZAHFx5lwNSw/frame_0038.jpg,НАД ФИЛЬМОМ РАБОТАЛИ ВТОРОЙ ОПЕРАТОР ДМИТРИЙ ПРОСЯННИКОВ ФОКУС-ПУПЛЕРЫ / МЕХАНИКИ — ПАВЕЛ РАЧКОВ МАКСИМ ОКУПОВСКИЙ АССИСТЕНТ ОПЕРАТОРСКОЙ ГРУППЫ — АНТОН КАДУШКИН РАБОЧИЙ ОПЕРАТОРСКОЙ ГРУППЫ — ЕГОР СМИРНОВ ГАФФЕР — ИЛЬЯ ЧЕРНОВ ОСВЕТИТЕТЬ — МАРКИН ОЛЕГ ЗВУКОРЕЖИССЁР — АЛЕКСЕЙ ВОРОШИЛОВ ЗВУКООПЕРАТОР — ГЛЕБ КАРИБСКИЙ РЕЖИССЁР МОНТАЖА — ВИКТОРИЯ ГАНУС МОНТАЖЁР — ВЕРОНИКА КОРШУНОВА КОЛОРИСТ АЛЕКСЕЙ АНДРИАНОВ КОМПЬЮТЕРНАЯ ГРАФИКА — ИЛЬЯ ЯКИЩЁНОК КООРДИНАТОР ПОСТ-ПРОДАКШЕН — КСЕНИЯ ОБОРИНА
